srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
ASSAM,2021-22,704,134383686,6520,2021,"Calendar Year (Jan - Dec), 2021"
BIHAR,2021-22,360,172317687,4080,2021,"Calendar Year (Jan - Dec), 2021"
CHANDIGARH,2021-22,7,1890174,56,2021,"Calendar Year (Jan - Dec), 2021"
CHHATTISGARH,2021-22,356,128037784,3984,2021,"Calendar Year (Jan - Dec), 2021"
DADRA NAGAR HAVELI,2021-22,2,1293712,16,2021,"Calendar Year (Jan - Dec), 2021"
DELHI,2021-22,20,8375146,240,2021,"Calendar Year (Jan - Dec), 2021"
GOA,2021-22,12,5072398,136,2021,"Calendar Year (Jan - Dec), 2021"
GUJARAT,2021-22,939,1007758385,11296,2021,"Calendar Year (Jan - Dec), 2021"
HARYANA,2021-22,280,157410162,3544,2021,"Calendar Year (Jan - Dec), 2021"
HIMACHAL PRADESH,2021-22,106,62547496,1608,2021,"Calendar Year (Jan - Dec), 2021"
JAMMU KASHMIR,2021-22,3890,1330058504,47352,2021,"Calendar Year (Jan - Dec), 2021"
JHARKHAND,2021-22,183,66505801,1912,2021,"Calendar Year (Jan - Dec), 2021"
KARNATAKA,2021-22,968,390487563,10800,2021,"Calendar Year (Jan - Dec), 2021"
KERALA,2021-22,336,139815939,4536,2021,"Calendar Year (Jan - Dec), 2021"
LADAKH,2021-22,59,37124350,728,2021,"Calendar Year (Jan - Dec), 2021"
LAKSHADWEEP,2021-22,1,239474,8,2021,"Calendar Year (Jan - Dec), 2021"
MADHYA PRADESH,2021-22,721,291407869,7736,2021,"Calendar Year (Jan - Dec), 2021"
MAHARASHTRA,2021-22,597,331584987,7520,2021,"Calendar Year (Jan - Dec), 2021"
MANIPUR,2021-22,317,111882289,2688,2021,"Calendar Year (Jan - Dec), 2021"
MEGHALAYA,2021-22,104,19679008,1016,2021,"Calendar Year (Jan - Dec), 2021"
MIZORAM,2021-22,109,22413094,976,2021,"Calendar Year (Jan - Dec), 2021"
NAGALAND,2021-22,273,84584150,2808,2021,"Calendar Year (Jan - Dec), 2021"
ODISHA,2021-22,581,248553269,6016,2021,"Calendar Year (Jan - Dec), 2021"
PUDUCHERRY,2021-22,10,4715880,152,2021,"Calendar Year (Jan - Dec), 2021"
PUNJAB,2021-22,288,148144322,3432,2021,"Calendar Year (Jan - Dec), 2021"
RAJASTHAN,2021-22,286,202071732,4184,2021,"Calendar Year (Jan - Dec), 2021"
SIKKIM,2021-22,8,3323990,104,2021,"Calendar Year (Jan - Dec), 2021"
TAMIL NADU,2021-22,643,323582094,8472,2021,"Calendar Year (Jan - Dec), 2021"
TELANGANA,2021-22,396,218901220,5000,2021,"Calendar Year (Jan - Dec), 2021"
TRIPURA,2021-22,276,72820343,2440,2021,"Calendar Year (Jan - Dec), 2021"
UTTAR PRADESH,2021-22,1780,875425234,20320,2021,"Calendar Year (Jan - Dec), 2021"
UTTARAKHAND,2021-22,238,80398313,2752,2021,"Calendar Year (Jan - Dec), 2021"
WEST BENGAL,2021-22,273,184624328,3496,2021,"Calendar Year (Jan - Dec), 2021"
ANDAMAN AND NICOBAR ISLAND,2020-21,155,18614463,1240,2020,"Calendar Year (Jan - Dec), 2020"
ANDHRA PRADESH,2020-21,1677,686598502,13416,2020,"Calendar Year (Jan - Dec), 2020"
ARUNACHAL PRADESH,2020-21,98,23261279,784,2020,"Calendar Year (Jan - Dec), 2020"
ASSAM,2020-21,2939,494750229,23512,2020,"Calendar Year (Jan - Dec), 2020"
BIHAR,2020-21,2192,720829031,17536,2020,"Calendar Year (Jan - Dec), 2020"
CHANDIGARH,2020-21,10,1599957,80,2020,"Calendar Year (Jan - Dec), 2020"
CHHATTISGARH,2020-21,2718,606182058,21744,2020,"Calendar Year (Jan - Dec), 2020"
DADRA NAGAR HAVELI,2020-21,10,2933136,80,2020,"Calendar Year (Jan - Dec), 2020"
DAMAN AND DIU,2020-21,2,980000,16,2020,"Calendar Year (Jan - Dec), 2020"
DELHI,2020-21,74,14755863,592,2020,"Calendar Year (Jan - Dec), 2020"
GOA,2020-21,58,15666009,464,2020,"Calendar Year (Jan - Dec), 2020"
GUJARAT,2020-21,2852,2062675511,22816,2020,"Calendar Year (Jan - Dec), 2020"
HARYANA,2020-21,1740,551190073,13920,2020,"Calendar Year (Jan - Dec), 2020"
HIMACHAL PRADESH,2020-21,1208,338080336,9664,2020,"Calendar Year (Jan - Dec), 2020"
JAMMU KASHMIR,2020-21,8575,1830532020,68600,2020,"Calendar Year (Jan - Dec), 2020"
ANDAMAN AND NICOBAR ISLAND,2021-22,29,4612659,296,2021,"Calendar Year (Jan - Dec), 2021"
ANDHRA PRADESH,2021-22,429,265769344,5032,2021,"Calendar Year (Jan - Dec), 2021"
ARUNACHAL PRADESH,2021-22,30,12495000,312,2021,"Calendar Year (Jan - Dec), 2021"
JHARKHAND,2020-21,1522,384706333,12176,2020,"Calendar Year (Jan - Dec), 2020"
KARNATAKA,2020-21,4437,1250245565,35496,2020,"Calendar Year (Jan - Dec), 2020"
KERALA,2020-21,2389,522498503,19112,2020,"Calendar Year (Jan - Dec), 2020"
LADAKH,2020-21,281,116836125,2248,2020,"Calendar Year (Jan - Dec), 2020"
LAKSHADWEEP,2020-21,3,1536316,24,2020,"Calendar Year (Jan - Dec), 2020"
MADHYA PRADESH,2020-21,4854,1380524340,38832,2020,"Calendar Year (Jan - Dec), 2020"
MAHARASHTRA,2020-21,3094,881373224,24752,2020,"Calendar Year (Jan - Dec), 2020"
